siLP genes,siLP Log2FoldChange
Eomes,-3.476716646
Klra9,-3.384690678
Klra10,-3.368707179
Sell,-3.140863597
Klra3,-3.092775281
Klra1,-2.682171365
Serpinb9b,-2.512262138
Car5b,-2.42392732
Klra6,-2.414810547
Eya1,-2.175601029
A430084P05Rik,-2.06856966
Myb,-2.040998363
Vegfa,-2.039848347
Klrg1,-1.982933478
Sema4a,-1.944041201
AB124611,-1.892860562
Itgam,-1.873577094
Sh2d1a,-1.751477086
Itga4,-1.742197528
Kcnip3,-1.722290077
Styk1,-1.719114394
Ccr7,-1.691644739
Khdc1a,-1.630845306
Sgk1,-1.595876827
Rgs16,-1.559085959
Atp8b4,-1.535095218
Ly6c1,-1.524117031
Klf12,-1.499590682
Plxnc1,-1.477274844
Itga2,-1.457561077
Ly6c2,-1.447717763
Irf8,-1.44733522
Crtam,-1.437787896
Anxa1,-1.437287329
Ccbl2,-1.395910746
Myc,-1.383328884
Ctla2b,-1.370180096
Rap1gap2,-1.367400935
Slamf6,-1.360741468
Ppargc1a,-1.301561202
Gzma,-1.301312448
Cmklr1,-1.296867624
Cd247,-1.281091205
Gpr174,-1.277532468
Lphn2,-1.254745579
Chd7,-1.251741906
Cd83,-1.246381754
Zeb2,-1.227780064
Tfam,-1.224803983
Setbp1,-1.197193423
Klre1,-1.193129167
Rab27b,-1.192301972
Aff3,-1.174993843
Ugt1a9,-1.171958142
Ccl9,-1.160317512
Aim1,-1.155498648
Adap1,-1.144017079
Slc41a2,-1.112753867
Tmem163,-1.10235845
S100a6,-1.091729701
Tmcc3,-1.088342879
Itgax,-1.075769456
Gnptab,-1.0639873
Gramd3,-1.05358889
P2ry14,-1.043463403
Gramd4,-1.03165524
Sykb,-1.009370414
Cym,-1.005588875
Serpinb1a,3.196860384
Il23r,3.165555749
Plekhg1,3.09146454
Rorc,3.023950353
Abi3bp,2.901454839
Gstm5,2.717236119
Upp1,2.569116629
Tmem176a,2.468102118
Prelid2,2.341217862
Il22,2.265710695
Rbpms2,2.235681951
Plxdc2,2.158632073
Tmem176b,2.139408638
Tcrg-V3,2.110604737
Slc6a20a,2.088635893
Il7r,2.070527046
Irak3,2.052371796
Npas2,2.03707972
Large,1.972224763
Tmem64,1.962279756
Kcnk1,1.929931404
Gpr183,1.915633165
Psd2,1.915085444
Tcrg-V2,1.897241154
Lmo4,1.887549474
Sgtb,1.825775549
Tmem154,1.782962841
Plcb4,1.733572334
Oasl2,1.716311253
Adam12,1.678403448
Ckb,1.632167877
Podnl1,1.588476147
Mmp9,1.575258433
Atp6v0d2,1.56665148
Tnfrsf25,1.541075274
Cxcr6,1.505801191
Chad,1.502882744
Capg,1.502329614
Nr1d1,1.477088254
Rnase4,1.475101884
Trat1,1.461595937
Slc27a6,1.449008471
41890,1.44557958
Pde5a,1.441809936
Epas1,1.416013656
Ahcyl2,1.409966359
Eps8l3,1.394552862
Fam184b,1.39449681
Cdk14,1.394492578
Icos,1.377843857
Dmrta1,1.345482121
Cyp4f16,1.330053844
Rab11fip1,1.329825482
Fam124b,1.326954623
Cdon,1.315200295
Maf,1.284683813
Ryk,1.267412498
Gm10008,1.253313932
Lysmd2,1.252726346
1300014I06Rik,1.243746704
H1f0,1.225619168
Gpr97,1.218296397
Susd2,1.200443343
Ifitm2,1.193068978
Zfp462,1.190206383
Ly6g5b,1.186710932
Adam8,1.182622644
Sgms1,1.177129912
Il1rl2,1.172063446
Tasp1,1.167915036
Odc1,1.166658928
Socs2,1.163105939
Fam82a1,1.153028903
Dkkl1,1.150032992
Lztfl1,1.145926924
Gpr114,1.142632481
Fah,1.139652621
Atp8a2,1.126430756
Rln3,1.113066149
Pde7b,1.109419344
Ltb,1.103604757
Slc16a10,1.089921566
Serinc2,1.08749161
Snora44,1.086207408
Cd4,1.084247607
Rasl11a,1.074134601
Ero1l,1.067999524
Slc35f2,1.066720418
Hoxa5,1.065745434
Gpr157,1.065282085
Itgb3,1.061186295
Hoxa6,1.060103508
Ctla4,1.058528416
Il2ra,1.053649904
Rora,1.053576019
Fbxl21,1.03983018
Lipo1,1.0394184
Cpne7,1.035988841
Gm2a,1.035592542
Rhod,1.032018307
St6galnac3,1.028944623
Sla,1.025777821
Cd93,1.023048739
Gpr55,1.019805451
Xlr4c,1.016364255
Tmem156,1.016128084